name,price,image,url,crawl_date
Ốp cản sau,6.378.480,https://danang.toyota.com.vn/uploads/others/op-can-sau-1728359409.png,https://danang.toyota.com.vn/uploads/others/op-can-sau-1728359409.png,2026-05-14 09:26:10
Ốp hướng gió sườn xe,7.452.000,https://danang.toyota.com.vn/uploads/others/op-huong-gio-suon-xe-1728359933.png,https://danang.toyota.com.vn/uploads/others/op-huong-gio-suon-xe-1728359933.png,2026-05-14 09:26:10
Biểu tượng TRD,2.360.600,https://danang.toyota.com.vn/uploads/others/bieu-tuong-trd-1728359958.png,https://danang.toyota.com.vn/uploads/others/bieu-tuong-trd-1728359958.png,2026-05-14 09:26:10
Logo TRD,677.160,https://danang.toyota.com.vn/uploads/others/logo-trd-1728359976.png,https://danang.toyota.com.vn/uploads/others/logo-trd-1728359976.png,2026-05-14 09:26:10
Mi che mưa,1.341.360,https://danang.toyota.com.vn/uploads/others/mi-che-mua-1728359994.png,https://danang.toyota.com.vn/uploads/others/mi-che-mua-1728359994.png,2026-05-14 09:26:10
Ốp trang trí sườn xe,1.377.000,https://danang.toyota.com.vn/uploads/others/op-trang-tri-suon-xe-1728360023.png,https://danang.toyota.com.vn/uploads/others/op-trang-tri-suon-xe-1728360023.png,2026-05-14 09:26:10
Tem dán sườn xe (màu Đen),677.160,https://danang.toyota.com.vn/uploads/others/tem-dan-suon-xe-mau-den-1728360043.png,https://danang.toyota.com.vn/uploads/others/tem-dan-suon-xe-mau-den-1728360043.png,2026-05-14 09:26:10
Tem dán sườn xe (màu Ghi),677.160,https://danang.toyota.com.vn/uploads/others/tem-dan-suon-xe-mau-ghi-1728360063.png,https://danang.toyota.com.vn/uploads/others/tem-dan-suon-xe-mau-ghi-1728360063.png,2026-05-14 09:26:10
Ốp cản trước (P5154-BZA0Q-00),2.781.864,https://danang.toyota.com.vn/uploads/others/op-can-truoc-p5154-bza0q-00-1728363576.jpg,https://danang.toyota.com.vn/uploads/others/op-can-truoc-p5154-bza0q-00-1728363576.jpg,2026-05-14 09:26:10
Ốp hướng gió sườn xe (P5156-BZA0A-00),3.041.712,https://danang.toyota.com.vn/uploads/others/op-huong-gio-suon-xe-p5156-bza0a-00-1728363612.jpg,https://danang.toyota.com.vn/uploads/others/op-huong-gio-suon-xe-p5156-bza0a-00-1728363612.jpg,2026-05-14 09:26:10
Ốp cản sau (P5158-BZA0N-00),2.858.328,https://danang.toyota.com.vn/uploads/others/op-can-sau-p5158-bza0n-00-1728363654.jpg,https://danang.toyota.com.vn/uploads/others/op-can-sau-p5158-bza0n-00-1728363654.jpg,2026-05-14 09:26:12
Tem dán sườn xe (P5186-BZA0X),844.344,https://danang.toyota.com.vn/uploads/others/tem-dan-suon-xe-p5186-bza0x-1728363695.png,https://danang.toyota.com.vn/uploads/others/tem-dan-suon-xe-p5186-bza0x-1728363695.png,2026-05-14 09:26:12
Vè che mưa (P5162-BZA1B),1.537.920,https://danang.toyota.com.vn/uploads/others/ve-che-mua-p5162-bza1b-1728369245.png,https://danang.toyota.com.vn/uploads/others/ve-che-mua-p5162-bza1b-1728369245.png,2026-05-14 09:26:12
Chụp ống xả,767.800,https://danang.toyota.com.vn/uploads/others/chup-ong-xa-1728369268.jpg,https://danang.toyota.com.vn/uploads/others/chup-ong-xa-1728369268.jpg,2026-05-14 09:26:12
Ốp cản trước (Chưa sơn),6.590.160,https://danang.toyota.com.vn/uploads/others/op-can-truoc-chua-son-1728369407.png,https://danang.toyota.com.vn/uploads/others/op-can-truoc-chua-son-1728369407.png,2026-05-14 09:26:12
Ốp cản sau (Chưa sơn),5.970.240,https://danang.toyota.com.vn/uploads/others/op-can-sau-chua-son-1728369427.png,https://danang.toyota.com.vn/uploads/others/op-can-sau-chua-son-1728369427.png,2026-05-14 09:26:12
Bộ ốp đèn sương mù TRD,4.513.300,https://danang.toyota.com.vn/uploads/others/bo-op-den-suong-mu-trd-1728369448.png,https://danang.toyota.com.vn/uploads/others/bo-op-den-suong-mu-trd-1728369448.png,2026-05-14 09:26:12
Ốp sườn xe TRD,4.882.680,https://danang.toyota.com.vn/uploads/others/op-suon-xe-trd-1728369483.png,https://danang.toyota.com.vn/uploads/others/op-suon-xe-trd-1728369483.png,2026-05-14 09:26:12
Logo TRD  (PZ037-0D501-TM),2.360.600,https://danang.toyota.com.vn/uploads/others/logo-trd-pz037-0d501-tm-1728369520.png,https://danang.toyota.com.vn/uploads/others/logo-trd-pz037-0d501-tm-1728369520.png,2026-05-14 09:26:12
Chụp ống xả (P5413-BZA02),1.271.160,https://danang.toyota.com.vn/uploads/others/chup-ong-xa-p5413-bza02-1728369547.png,https://danang.toyota.com.vn/uploads/others/chup-ong-xa-p5413-bza02-1728369547.png,2026-05-14 09:26:12
Vè che mưa (P5162-BZA0R),1.850.040,https://danang.toyota.com.vn/uploads/others/ve-che-mua-p5162-bza0r-1728369589.png,https://danang.toyota.com.vn/uploads/others/ve-che-mua-p5162-bza0r-1728369589.png,2026-05-14 09:26:12
Bảo vệ mép cửa (4 chiếc/ Bộ),585.360,https://danang.toyota.com.vn/uploads/others/bao-ve-mep-cua-4-chiec-bo-1728369611.jpg,https://danang.toyota.com.vn/uploads/others/bao-ve-mep-cua-4-chiec-bo-1728369611.jpg,2026-05-14 09:26:12
Bảo vệ góc cửa (4 chiếc/ Bộ),341.280,https://danang.toyota.com.vn/uploads/others/bao-ve-goc-cua-4-chiec-bo-1728369636.jpg,https://danang.toyota.com.vn/uploads/others/bao-ve-goc-cua-4-chiec-bo-1728369636.jpg,2026-05-14 09:26:13
Ốp hõm tay cửa mạ Crôm,2.298.240,https://danang.toyota.com.vn/uploads/others/op-hom-tay-cua-ma-crom-1728369670.png,https://danang.toyota.com.vn/uploads/others/op-hom-tay-cua-ma-crom-1728369670.png,2026-05-14 09:26:13
Ốp hõm tay cửa mạ Crôm (chỉ có phần hõm),914.760,https://danang.toyota.com.vn/uploads/others/op-hom-tay-cua-ma-crom-chi-co-phan-hom-1728369696.png,https://danang.toyota.com.vn/uploads/others/op-hom-tay-cua-ma-crom-chi-co-phan-hom-1728369696.png,2026-05-14 09:26:13
Ốp hõm tay cửa vân Cacbon,1.220.400,https://danang.toyota.com.vn/uploads/others/op-hom-tay-cua-van-cacbon-1728369721.png,https://danang.toyota.com.vn/uploads/others/op-hom-tay-cua-van-cacbon-1728369721.png,2026-05-14 09:26:13
Phim dán bảo vệ hõm cửa,384.480,https://danang.toyota.com.vn/uploads/others/phim-dan-bao-ve-hom-cua-1728369743.png,https://danang.toyota.com.vn/uploads/others/phim-dan-bao-ve-hom-cua-1728369743.png,2026-05-14 09:26:13
Ốp sườn xe (màu Ghi),4.361.040,https://danang.toyota.com.vn/uploads/others/op-suon-xe-mau-ghi-1728369792.jpg,https://danang.toyota.com.vn/uploads/others/op-suon-xe-mau-ghi-1728369792.jpg,2026-05-14 09:26:13
Ốp hõm tay nắm cửa (mạ Crôm) (màu Ghi đậm),1.435.968,https://danang.toyota.com.vn/uploads/others/op-hom-tay-nam-cua-ma-crom-mau-ghi-dam-1728369820.jpg,https://danang.toyota.com.vn/uploads/others/op-hom-tay-nam-cua-ma-crom-mau-ghi-dam-1728369820.jpg,2026-05-14 09:26:13
Hõm tay nắm cửa dạng vân Cacbon (màu Bạc) (cao su),1.242.000,https://danang.toyota.com.vn/uploads/others/hom-tay-nam-cua-dang-van-cacbon-mau-bac-cao-su-1728369847.jpg,https://danang.toyota.com.vn/uploads/others/hom-tay-nam-cua-dang-van-cacbon-mau-bac-cao-su-1728369847.jpg,2026-05-14 09:26:13
Hõm tay nắm cửa dạng vân Cacbon (cao su),1.242.000,https://danang.toyota.com.vn/uploads/others/hom-tay-nam-cua-dang-van-cacbon-cao-su-1728369869.jpg,https://danang.toyota.com.vn/uploads/others/hom-tay-nam-cua-dang-van-cacbon-cao-su-1728369869.jpg,2026-05-14 09:26:13
Ốp sườn xe (màu Xanh biển),4.361.040,https://danang.toyota.com.vn/uploads/others/op-suon-xe-mau-xanh-bien-1728369888.jpg,https://danang.toyota.com.vn/uploads/others/op-suon-xe-mau-xanh-bien-1728369888.jpg,2026-05-14 09:26:13
Vè che mưa (PC162-0A001),1.447.200,https://danang.toyota.com.vn/uploads/others/ve-che-mua-pc162-0a001-1728369924.jpg,https://danang.toyota.com.vn/uploads/others/ve-che-mua-pc162-0a001-1728369924.jpg,2026-05-14 09:26:13
Ốp cản sau (màu Ghi),828.144,https://danang.toyota.com.vn/uploads/others/op-can-sau-mau-ghi-1728369989.jpg,https://danang.toyota.com.vn/uploads/others/op-can-sau-mau-ghi-1728369989.jpg,2026-05-14 09:26:13
Ốp cột chữ C (màu Xanh biển),2.242.080,https://danang.toyota.com.vn/uploads/others/op-cot-chu-c-mau-xanh-bien-1728370021.jpg,https://danang.toyota.com.vn/uploads/others/op-cot-chu-c-mau-xanh-bien-1728370021.jpg,2026-05-14 09:26:14
Ốp cột chữ C (màu Ghi),896.832,https://danang.toyota.com.vn/uploads/others/op-cot-chu-c-mau-ghi-1728370046.jpg,https://danang.toyota.com.vn/uploads/others/op-cot-chu-c-mau-ghi-1728370046.jpg,2026-05-14 09:26:14
Ốp cản sau (màu Xanh biển),2.070.360,https://danang.toyota.com.vn/uploads/others/op-can-sau-mau-xanh-bien-1728370067.jpg,https://danang.toyota.com.vn/uploads/others/op-can-sau-mau-xanh-bien-1728370067.jpg,2026-05-14 09:26:14
Ốp cản trước (màu Xanh biển),2.123.280,https://danang.toyota.com.vn/uploads/others/op-can-truoc-mau-xanh-bien-1728370092.jpg,https://danang.toyota.com.vn/uploads/others/op-can-truoc-mau-xanh-bien-1728370092.jpg,2026-05-14 09:26:14
Ốp cản trước (màu Ghi),1.899.720,https://danang.toyota.com.vn/uploads/others/op-can-truoc-mau-ghi-1728370115.jpg,https://danang.toyota.com.vn/uploads/others/op-can-truoc-mau-ghi-1728370115.jpg,2026-05-14 09:26:14
